Outlook,Temp,Humidity,Wind,Play
Rainy,Hot,High,Weak,Yes
Rainy,Mild,Normal,Strong,No
Rainy,Cold,High,Weak,Yes
Overcast,Cold,Normal,Strong,Yes
Rainy,Hot,High,Strong,No
Overcast,Hot,High,Weak,Yes
Sunny,Hot,High,Weak,No
Overcast,Cold,High,Strong,Yes
Overcast,Cold,Normal,Weak,Yes
Sunny,Mild,Normal,Strong,Yes
Overcast,Cold,Normal,Strong,Yes
Overcast,Cold,High,Strong,No
Sunny,Hot,High,Weak,No
Rainy,Hot,Normal,Strong,No
Rainy,Hot,Normal,Weak,Yes
Rainy,Hot,High,Strong,No
Overcast,Cold,Normal,Strong,Yes
Overcast,Mild,Normal,Weak,Yes
Rainy,Cold,Normal,Weak,No
Rainy,Mild,Normal,Strong,No
Overcast,Hot,Normal,Strong,Yes
Overcast,Mild,Normal,Weak,Yes
Sunny,Hot,Normal,Strong,Yes
Rainy,Hot,Normal,Strong,No
Overcast,Mild,Normal,Weak,Yes
Rainy,Hot,Normal,Weak,Yes
Rainy,Mild,Normal,Strong,No
Rainy,Cold,High,Strong,Yes
Sunny,Cold,Normal,Weak,Yes
Overcast,Cold,High,Weak,Yes
Rainy,Mild,Normal,Strong,No
Rainy,Mild,Normal,Weak,Yes
Rainy,Cold,High,Strong,No
Rainy,Hot,Normal,Strong,No
Sunny,Hot,High,Strong,No
Rainy,Mild,High,Strong,No
Sunny,Hot,Normal,Strong,Yes
Sunny,Mild,High,Weak,No
Sunny,Hot,High,Strong,No
Sunny,Hot,Normal,Strong,Yes
Overcast,Mild,High,Weak,Yes
Rainy,Mild,High,Strong,No
Rainy,Hot,High,Weak,Yes
Sunny,Hot,Normal,Strong,Yes
Overcast,Cold,Normal,Weak,No
Sunny,Mild,Normal,Strong,Yes
Rainy,Cold,Normal,Strong,No
Sunny,Mild,Normal,Strong,Yes
Sunny,Mild,High,Weak,No
Sunny,Hot,High,Weak,No
Rainy,Cold,High,Strong,No
Overcast,Cold,High,Weak,Yes
Rainy,Hot,High,Weak,Yes
Overcast,Hot,Normal,Strong,Yes
Sunny,Cold,High,Strong,No
Sunny,Cold,Normal,Weak,Yes
Sunny,Cold,High,Strong,No
Sunny,Mild,High,Weak,No
Rainy,Hot,Normal,Strong,No
Sunny,Cold,Normal,Weak,Yes
Overcast,Mild,High,Weak,No
Sunny,Hot,Normal,Weak,Yes
Rainy,Hot,High,Strong,No
Overcast,Mild,Normal,Strong,No
Sunny,Hot,Normal,Strong,Yes
Overcast,Mild,High,Weak,Yes
Sunny,Hot,High,Weak,No
Overcast,Cold,Normal,Weak,Yes
Overcast,Hot,High,Strong,Yes
Overcast,Mild,Normal,Strong,Yes
Rainy,Hot,High,Weak,Yes
Sunny,Hot,High,Strong,No
Overcast,Cold,Normal,Weak,Yes
Overcast,Cold,High,Weak,Yes
Overcast,Hot,Normal,Strong,No
Overcast,Cold,Normal,Weak,Yes
Rainy,Cold,High,Strong,No
Rainy,Cold,High,Strong,No
Sunny,Mild,Normal,Strong,Yes
Rainy,Cold,High,Weak,Yes
Sunny,Cold,Normal,Strong,Yes
Sunny,Mild,Normal,Weak,Yes
Overcast,Hot,High,Strong,Yes
Sunny,Hot,Normal,Strong,Yes
Overcast,Hot,Normal,Strong,Yes
Overcast,Cold,High,Weak,Yes
Sunny,Cold,High,Weak,No
Rainy,Cold,Normal,Weak,Yes
Overcast,Mild,Normal,Weak,Yes
Overcast,Mild,Normal,Strong,Yes
Sunny,Hot,High,Weak,No
Rainy,Mild,Normal,Weak,No
Sunny,Mild,High,Strong,No
Rainy,Hot,High,Weak,Yes
Overcast,Hot,Normal,Weak,Yes
Sunny,Mild,High,Weak,No
Overcast,Mild,High,Strong,No
Rainy,Hot,Normal,Strong,No
Sunny,Cold,High,Weak,No
Rainy,Cold,Normal,Strong,No
Rainy,Cold,High,Strong,No
Overcast,Mild,Normal,Weak,Yes
Rainy,Cold,Normal,Strong,No
Rainy,Cold,High,Weak,Yes
Rainy,Mild,Normal,Weak,Yes
Rainy,Hot,Normal,Weak,Yes
Rainy,Mild,Normal,Strong,No
Overcast,Hot,High,Weak,Yes
Sunny,Cold,High,Weak,No
Sunny,Mild,Normal,Weak,Yes
Rainy,Mild,High,Weak,Yes
Overcast,Hot,High,Strong,Yes
Rainy,Mild,High,Strong,No
Rainy,Mild,High,Weak,Yes
Sunny,Cold,Normal,Weak,Yes
Rainy,Cold,Normal,Weak,Yes
Sunny,Mild,Normal,Weak,Yes
Sunny,Hot,High,Weak,No
Overcast,Mild,Normal,Weak,Yes
Overcast,Hot,Normal,Strong,Yes
Sunny,Hot,High,Strong,No
Rainy,Cold,Normal,Strong,No
Rainy,Mild,High,Strong,No
Sunny,Cold,High,Weak,No
Rainy,Mild,High,Strong,No
Sunny,Cold,Normal,Strong,Yes
Sunny,Cold,Normal,Weak,Yes
Overcast,Mild,High,Weak,Yes
Rainy,Mild,Normal,Weak,Yes
Rainy,Cold,Normal,Weak,Yes
Overcast,Cold,Normal,Strong,No
Rainy,Hot,Normal,Weak,Yes
Sunny,Cold,High,Weak,No
Rainy,Hot,Normal,Weak,Yes
Rainy,Cold,Normal,Weak,Yes
Sunny,Hot,Normal,Strong,No
Sunny,Hot,High,Strong,No
Rainy,Hot,Normal,Strong,No
Rainy,Mild,Normal,Strong,Yes
Rainy,Hot,High,Weak,Yes
Rainy,Hot,High,Strong,No
Sunny,Mild,Normal,Weak,Yes
Overcast,Mild,Normal,Weak,Yes
Rainy,Hot,High,Strong,No
Rainy,Mild,High,Strong,No
Rainy,Cold,Normal,Weak,Yes
Rainy,Hot,High,Weak,No
Rainy,Mild,High,Strong,No
Rainy,Cold,Normal,Weak,Yes
Rainy,Cold,High,Weak,Yes
Rainy,Mild,High,Weak,Yes
Rainy,Hot,Normal,Weak,Yes
Sunny,Mild,High,Weak,No
Overcast,Mild,Normal,Weak,Yes
Sunny,Hot,Normal,Weak,Yes
Overcast,Mild,Normal,Strong,Yes
Overcast,Cold,High,Strong,Yes
Overcast,Hot,High,Strong,Yes
Sunny,Cold,Normal,Strong,Yes
Sunny,Cold,Normal,Strong,Yes
Overcast,Mild,Normal,Weak,Yes
Rainy,Hot,Normal,Weak,Yes
Sunny,Mild,High,Weak,No
Rainy,Cold,High,Strong,No
Sunny,Hot,Normal,Strong,Yes
Sunny,Mild,Normal,Weak,Yes
Rainy,Cold,Normal,Weak,Yes
Rainy,Hot,Normal,Strong,No
Rainy,Hot,High,Weak,Yes
Sunny,Cold,High,Strong,No
Sunny,Hot,Normal,Weak,No
Overcast,Hot,High,Weak,Yes
Overcast,Mild,Normal,Strong,Yes
Sunny,Cold,Normal,Weak,Yes
Rainy,Cold,Normal,Strong,No
Rainy,Hot,Normal,Strong,No
Rainy,Hot,Normal,Strong,No
Sunny,Cold,Normal,Strong,Yes
Overcast,Mild,Normal,Weak,Yes
Sunny,Mild,High,Weak,Yes
Rainy,Mild,High,Weak,Yes
Overcast,Cold,High,Weak,Yes
Overcast,Cold,High,Strong,Yes
Overcast,Hot,High,Strong,No
Sunny,Hot,High,Weak,No
Sunny,Cold,High,Weak,No
Sunny,Cold,Normal,Weak,Yes
Rainy,Cold,Normal,Weak,Yes
Rainy,Mild,Normal,Weak,Yes
Overcast,Cold,High,Weak,Yes
Rainy,Mild,High,Strong,No
Rainy,Cold,High,Weak,Yes
Sunny,Hot,High,Weak,No
Rainy,Cold,Normal,Weak,Yes
Sunny,Mild,High,Weak,Yes
Rainy,Hot,High,Strong,No
Overcast,Hot,Normal,Weak,Yes
Overcast,Mild,Normal,Weak,Yes
Overcast,Mild,High,Weak,Yes
Rainy,Mild,Normal,Weak,No
Rainy,Hot,High,Weak,Yes
Sunny,Cold,Normal,Strong,Yes
Sunny,Mild,Normal,Strong,Yes
Overcast,Cold,Normal,Strong,Yes
Overcast,Hot,Normal,Strong,Yes
Rainy,Cold,Normal,Strong,No
Rainy,Mild,Normal,Weak,Yes
Rainy,Hot,High,Strong,No
Sunny,Hot,High,Strong,No
Rainy,Cold,High,Weak,Yes
Rainy,Hot,High,Weak,Yes
Rainy,Mild,High,Weak,Yes
Overcast,Hot,High,Strong,Yes
Overcast,Cold,Normal,Weak,Yes
Sunny,Cold,Normal,Strong,No
Rainy,Cold,Normal,Weak,No
Rainy,Cold,High,Weak,Yes
Overcast,Hot,High,Weak,No
Overcast,Mild,Normal,Strong,Yes
Sunny,Cold,High,Weak,No
Rainy,Mild,Normal,Strong,No
Overcast,Hot,High,Strong,Yes
Rainy,Hot,Normal,Weak,Yes
Sunny,Cold,High,Strong,No
Sunny,Cold,Normal,Strong,Yes
Overcast,Cold,Normal,Weak,Yes
Overcast,Cold,Normal,Weak,Yes
Overcast,Hot,Normal,Weak,Yes
Sunny,Mild,Normal,Strong,Yes
Sunny,Cold,Normal,Weak,Yes
Overcast,Cold,Normal,Weak,Yes
Sunny,Mild,Normal,Strong,Yes
Rainy,Mild,High,Weak,Yes
Sunny,Hot,High,Strong,No
Sunny,Hot,Normal,Weak,Yes
Sunny,Hot,Normal,Weak,Yes
Rainy,Hot,Normal,Strong,No
Overcast,Cold,Normal,Strong,Yes
Rainy,Mild,Normal,Weak,Yes
Sunny,Hot,Normal,Strong,Yes
Sunny,Cold,Normal,Strong,Yes
Sunny,Mild,High,Strong,No
Sunny,Hot,High,Strong,No
Overcast,Mild,Normal,Weak,Yes
Sunny,Mild,Normal,Strong,Yes
Overcast,Mild,High,Strong,Yes
Overcast,Mild,Normal,Strong,Yes
Rainy,Hot,High,Weak,Yes
Sunny,Cold,Normal,Strong,Yes
Rainy,Hot,Normal,Weak,Yes
Overcast,Hot,Normal,Strong,Yes
Rainy,Cold,High,Strong,Yes
Sunny,Hot,High,Strong,No
Rainy,Hot,Normal,Strong,No
Overcast,Cold,Normal,Strong,No
Sunny,Mild,High,Weak,No
Overcast,Mild,Normal,Strong,Yes
Overcast,Hot,Normal,Strong,Yes
Sunny,Hot,Normal,Strong,Yes
Rainy,Mild,High,Weak,Yes
Sunny,Mild,Normal,Strong,Yes
Rainy,Cold,Normal,Strong,No
Overcast,Cold,Normal,Strong,Yes
Sunny,Hot,High,Strong,No
Rainy,Cold,High,Weak,Yes
Sunny,Hot,High,Strong,No
Sunny,Mild,High,Weak,No
Sunny,Hot,Normal,Strong,Yes
Rainy,Mild,Normal,Weak,Yes
Sunny,Hot,High,Strong,No
Overcast,Mild,Normal,Strong,Yes
Sunny,Cold,High,Strong,No
Rainy,Cold,Normal,Strong,No
Overcast,Cold,High,Weak,Yes
Overcast,Mild,Normal,Weak,Yes
Sunny,Cold,High,Strong,No
Rainy,Hot,Normal,Strong,No
